time,proportion
25240,0.000280584
25249,0.000280584
25256,0.000280584
25263,0.000280584
25270,0.000280584
25277,0.000280584
25284,0.000280584
25291,0.000280584
25298,0.000280584
25305,0.000280584
25312,0.000280584
25319,0.000280584
25320,0.000561167
25328,0.000561167
25329,0.000561167
25336,0.000561167
25343,0.000561167
25344,0.000561167
25350,0.000561167
25351,0.000561167
25357,0.000561167
25358,0.000561167
25364,0.000561167
25365,0.000561167
25371,0.000561167
25372,0.000561167
25378,0.000561167
25379,0.000561167
25380,0.000841751
25385,0.000841751
25386,0.000841751
25389,0.000841751
25392,0.000841751
25393,0.000841751
25396,0.000841751
25399,0.000841751
25400,0.000841751
25403,0.000841751
25406,0.000841751
25407,0.000841751
25410,0.000841751
25415,0.000841751
25417,0.000841751
25424,0.000841751
25430,0.001122334
25431,0.001122334
25438,0.001122334
25439,0.001122334
25445,0.001122334
25446,0.001122334
25450,0.001402918
25452,0.001402918
25453,0.001402918
25458,0.001402918
25459,0.001402918
25460,0.001402918
25465,0.001402918
25466,0.001402918
25467,0.001402918
25468,0.001402918
25472,0.001402918
25473,0.001402918
25474,0.001402918
25479,0.001402918
25480,0.001402918
25481,0.001402918
25484,0.001402918
25486,0.001402918
25487,0.001402918
25488,0.001402918
25491,0.001402918
25493,0.001402918
25494,0.001402918
25495,0.001402918
25498,0.001402918
25500,0.001402918
25502,0.001402918
25505,0.001402918
25507,0.001402918
25509,0.001402918
25512,0.001402918
25514,0.001402918
25518,0.001402918
25519,0.001402918
25523,0.001402918
25526,0.001402918
25530,0.001683502
25533,0.001683502
25534,0.001683502
25539,0.001683502
25540,0.001683502
25541,0.001683502
25546,0.001683502
25547,0.001683502
25548,0.001683502
25553,0.001683502
25555,0.001683502
25560,0.001683502
25562,0.001683502
25567,0.001683502
25569,0.001683502
25574,0.001683502
25576,0.001683502
25581,0.001683502
25583,0.001683502
25588,0.001683502
25590,0.001683502
25595,0.001683502
25597,0.001683502
25602,0.001683502
25604,0.001683502
25620,0.001683502
25627,0.001683502
25634,0.001683502
25640,0.001964085
25641,0.001964085
25648,0.001964085
25649,0.001964085
25655,0.001964085
25656,0.001964085
25662,0.001964085
25663,0.001964085
25669,0.001964085
25670,0.002244669
25676,0.002244669
25677,0.002244669
25678,0.002244669
25683,0.002244669
25684,0.002244669
25690,0.002244669
25691,0.002244669
