time,proportion
27070,0.000341297
27079,0.000341297
27086,0.000341297
27093,0.000341297
27100,0.000341297
27107,0.000341297
27114,0.000341297
27121,0.000341297
27128,0.000341297
27135,0.000341297
27142,0.000341297
27149,0.000341297
27158,0.000341297
27174,0.000341297
27181,0.000341297
27188,0.000341297
27195,0.000341297
27200,0.000682594
27202,0.000682594
27208,0.000682594
27209,0.000682594
27215,0.000682594
27216,0.000682594
27222,0.000682594
27223,0.000682594
27229,0.000682594
27230,0.001023891
27236,0.001023891
27237,0.001023891
27239,0.001023891
27243,0.001023891
27244,0.001023891
27246,0.001023891
27250,0.001023891
27253,0.001023891
27257,0.001023891
27260,0.001023891
27264,0.001023891
27267,0.001023891
27273,0.001023891
27274,0.001023891
27281,0.001023891
27288,0.001023891
27289,0.001023891
27295,0.001023891
27296,0.001023891
27302,0.001023891
27303,0.001023891
27309,0.001023891
27310,0.001023891
27316,0.001023891
27317,0.001023891
27324,0.001023891
27325,0.001023891
27331,0.001023891
27338,0.001023891
27341,0.001023891
27345,0.001023891
27348,0.001023891
27352,0.001023891
27355,0.001023891
27362,0.001023891
27369,0.001023891
27376,0.001023891
27383,0.001023891
27390,0.001023891
27397,0.001023891
27404,0.001023891
27430,0.001365188
27439,0.001365188
27446,0.001365188
27450,0.001706485
27453,0.001706485
27458,0.001706485
27460,0.002047782
27465,0.002047782
27467,0.002047782
27468,0.002047782
27472,0.002047782
27474,0.002047782
27475,0.002047782
27479,0.002047782
27481,0.002047782
27482,0.002047782
27486,0.002047782
27488,0.002047782
27489,0.002047782
27490,0.002389078
27493,0.002389078
27495,0.002389078
27496,0.002389078
27499,0.002389078
27500,0.002730375
27503,0.002730375
27504,0.002730375
27506,0.002730375
27507,0.002730375
27508,0.002730375
27510,0.002730375
27513,0.002730375
27514,0.002730375
27515,0.002730375
27517,0.002730375
27520,0.002730375
27521,0.002730375
27522,0.002730375
27524,0.002730375
27527,0.002730375
27528,0.002730375
27529,0.002730375
27531,0.002730375
27534,0.002730375
27536,0.002730375
27537,0.002730375
27538,0.002730375
27540,0.003071672
27541,0.003071672
27543,0.003071672
27545,0.003071672
27548,0.003071672
27550,0.003071672
27553,0.003071672
27554,0.003071672
27555,0.003071672
27557,0.003071672
27560,0.003071672
27562,0.003071672
27564,0.003071672
27566,0.003071672
27567,0.003071672
27569,0.003071672
27570,0.003412969
27571,0.003412969
27572,0.003412969
27574,0.003412969
27576,0.003412969
27577,0.003412969
27578,0.003412969
27579,0.003412969
27581,0.003412969
27583,0.003412969
27584,0.003412969
27585,0.003412969
27586,0.003412969
27588,0.003412969
27590,0.003412969
27591,0.003412969
27592,0.003412969
27593,0.003412969
27594,0.003412969
27595,0.003412969
27596,0.003412969
27598,0.003412969
27600,0.003412969
27602,0.003412969
27605,0.003412969
27607,0.003412969
27608,0.003412969
27609,0.003412969
27610,0.003412969
27612,0.003412969
27614,0.003412969
27615,0.003412969
27617,0.003412969
27619,0.003412969
27621,0.003412969
27622,0.003412969
27624,0.003412969
